FW_Default	FW_LBM	FW_QBM	FW_NM	Direct	interior-point-convex	active-set
0	0.00749195211973633	0.0219170346792105	0.0219170346792105	3.58981465646497e-13	1	9.45803084738471e-11
0	0	0	0	3.74725645158267e-13	0	-2.80923839685505e-11
0	0	0	0	3.65050360083463e-13	0	8.03340797780306e-12
0	0	0	0	3.62479108994322e-13	0	1.88727499242268e-08
0.0118802395209581	0.408786742476591	0.0103583582052619	0.0103583582052619	3.41262400849812e-13	0	1.16994730212745e-08
7.98403193612775e-06	0.00555924778157403	5.04754166125205e-05	5.04754166125579e-05	5.20708001786508e-06	0	-5.78156352058961e-12
0	0	0	0	3.59024995291548e-13	0	1.26944507779742e-09
0	0	0	0	3.59483484668209e-13	0	-1.28897720569042e-08
0	0	0	0	3.59666045324418e-13	0	1.41378404009125e-09
0	0	0	0	3.7199442095936e-13	0	2.29900336115039e-11
0	4.8315814166518e-05	0	0	3.89650316034628e-13	0	-2.50853964450389e-11
0.00162075848303393	0.00749195211973633	0.0219170346792105	0.0219170346792105	0.00118597834553162	1	1.63081045099758e-09
0	0	0	0	3.62215053188788e-13	0	4.09412420155455e-11
1.59680638722555e-05	0.00559421160409965	2.79475813507593e-06	2.79475813507484e-06	1.56742523576704e-06	0	-2.50505078703922e-11
0.00277045908183633	0.000585248888056147	0	0	4.76785442635809e-12	0	1.95425564503028e-09
0	0	0	0	3.59159625757902e-13	0	6.40234270088151e-11
2.39520958083832e-05	0.00562939532488015	2.12138248867124e-06	2.12138248867074e-06	1.65637808301054e-06	0	-2.50864277881092e-11
0.00273852295409182	0.00126739120651382	0	0	0.0011768878389665	0	2.24456829857712e-09
0	0	0	0	3.58981465646555e-13	0	-3.8287252508379e-11
0	0	0	0	3.74725645158322e-13	0	-2.80928331760461e-11
0	0	0	0	3.51133205166714e-13	0	2.06826543247724e-11
0.00203592814371257	0.000361144084367654	0	0	0.000601114240845079	0	1.11932267074979e-10
0	0	0	0	3.59134067154904e-13	0	-5.85654248400354e-09
0	0	0	0	3.70826273784226e-13	0	7.00552553898352e-12
0	0	0	0	3.60174366695453e-13	0	-4.24051899085002e-10
0	0	0	0	3.79331664383194e-13	0	-4.35382942327109e-09
0	0	0	0	3.578124051205e-13	0	1.62073657112629e-09
0	0	0.201574902322603	0.201574902322603	0.222409083946251	0	-2.80711856205349e-11
0	0	0	0	3.53390297116823e-13	0	-4.9453372226528e-09
0	0	0	0	3.45014490717701e-13	0	1.34099884922291e-09
0	0	0	0	3.48316255291878e-13	0	3.23501440559441e-11
0	0	0	0	1.07834585209687e-12	0	-4.43761574915832e-09
0	0	0	0	3.52118483251139e-13	0	1.40477919241824e-09
0	0	0	0	3.71587534916722e-13	0	-1.53206134935783e-10
0.169013972055888	0.184417132069294	0.147112428899079	0.147112428899079	0.141766950038022	1	-5.84577597697958e-09
0	0	0	0	3.49776304564164e-13	0	1.78641527776838e-11
0	0	0	0	3.59005719144239e-13	0	9.79372364243288e-10
0	0	0	0	3.55859734223215e-13	0	-1.47778085216304e-08
0	0	0	0	3.68741443102984e-13	0	2.22742815968006e-11
